NroCheque,CodigoBanco,CodigoScurusal,NumeroCuentaOrigen,NumeroCuentaDestino,Valor,FechaOrigen,FechaPago,DNI,Estado
VBYMGB1HOKW,29,284,FIPN37976025894130,IFTS42354017800180,782.61,1651542024.223653,1657244424.223654,872-55-4473,pendiente
CEHPGBV92S2,29,284,FIPN37976025894130,HESA52019518288530,122.48,1650591624.223691,1657244424.223693,872-55-4473,pendiente
JOAAGBF5RS1,29,284,FIPN37976025894130,YUXA47700685621383,106.68,1652924424.223714,1657244424.223715,872-55-4473,pendiente
TCVLGBPOZS1,29,284,FIPN37976025894130,PFRD17209234437954,575.37,1653442824.223736,1657158024.223737,872-55-4473,pendiente
LTKBGB22LUP,29,284,FIPN37976025894130,ECMY08730061997859,445.19,1651110024.223758,1657676424.22376,872-55-4473,rechazado
XIZKGBZWQQ4,29,284,FIPN37976025894130,OLKG00355387552292,537.82,1653270024.22378,1658713224.223782,872-55-4473,aceptado
QVPTGBV0GBB,29,284,FIPN37976025894130,TKGM56555000698688,141.92,1653010824.223802,1657244424.223804,872-55-4473,pendiente
JHGTGB9JLG5,29,284,FIPN37976025894130,FHHW43190774646665,228.95,1650678024.223825,1658281224.223826,872-55-4473,pendiente
QKNTGBXWX43,29,284,FIPN37976025894130,CQBI41969758884869,197.22,1650418824.223847,1657935624.223849,872-55-4473,rechazado
JXLBGB0BC6U,29,284,FIPN37976025894130,HCPX14722545949339,476.91,1653010824.223869,1658799624.223871,872-55-4473,aceptado
GRVQGBI0ZJZ,29,284,FIPN37976025894130,MEHD01911274092621,646.82,1652319624.223891,1658626824.223893,872-55-4473,rechazado
VVJEGBIMJMZ,29,284,FIPN37976025894130,TXWJ49973191614283,952.12,1652319624.223914,1657762824.223915,872-55-4473,pendiente
TXRQGBAGR40,29,284,FIPN37976025894130,NHGY91793993819696,318.98,1651974024.223936,1657158024.223938,872-55-4473,aceptado
UJHFGBJCXXT,29,284,FIPN37976025894130,CLQW16022106768592,874.25,1650937224.223958,1657330824.22396,872-55-4473,pendiente
XIZCGBAUHCD,29,284,YGCT69795619945021,YAZI98519831777308,53.82,1653356424.223981,1658713224.223982,872-55-4473,pendiente
GEHMGBFR9J0,29,284,YGCT69795619945021,HJKZ35613288969167,902.5,1652319624.224019,1657158024.224021,872-55-4473,aceptado
YBZQGBNK4AJ,29,284,YGCT69795619945021,AEAF81879574039654,173.69,1650418824.224041,1657676424.224043,872-55-4473,aceptado
OZQHGB11QYV,45,154,BABI66683403275736,KDGX09073152274850,46.26,1650159624.224321,1657244424.224323,588-33-9079,aceptado
GXDXGBO3JCO,45,154,BABI66683403275736,DHON79706179156222,370.94,1652146824.224344,1658799624.224345,588-33-9079,pendiente
HYNRGBN0EA0,45,154,BABI66683403275736,WLNZ31646303109579,710.75,1653097224.224366,1657503624.224368,588-33-9079,aceptado
MPFSGB1JLLF,45,154,BABI66683403275736,GKAI22940340494191,819.39,1651369224.224389,1657849224.22439,588-33-9079,aceptado
DBQIGB9MDSC,45,154,BABI66683403275736,MNRP59419294902868,7.07,1652838024.224411,1658799624.224413,588-33-9079,aceptado
SZWIGBBSLT1,45,154,BABI66683403275736,HNFN29197588942009,657.64,1652924424.224433,1657417224.224435,588-33-9079,aceptado
SIAJGBO3K3C,45,154,BABI66683403275736,TMNZ54759156335095,241.08,1651455624.224456,1658367624.224457,588-33-9079,rechazado
MRVPGBHRVC4,45,154,BABI66683403275736,LQGT35286167367694,348.76,1650678024.224478,1658194824.22448,588-33-9079,aceptado
JRTYGBBLHN3,45,154,BABI66683403275736,BWFS61969326579027,332.93,1653529224.224501,1657503624.224502,588-33-9079,rechazado
ZZGZGBIT60D,45,154,BABI66683403275736,RLCK30940649581518,38.66,1652060424.224523,1658540424.224525,588-33-9079,pendiente
FIPBGB517TB,45,154,BABI66683403275736,ZQBQ61678350868788,279.57,1652406024.224545,1658799624.224547,588-33-9079,rechazado
SIHLGB669L7,45,154,BABI66683403275736,TSMG03044867566167,880.44,1651542024.224587,1657935624.224588,588-33-9079,aceptado
MFTOGBVX98X,45,154,BABI66683403275736,JPXZ30946836156780,186.86,1653356424.22461,1658281224.224612,588-33-9079,pendiente
XXLSGBXUJEA,45,154,BABI66683403275736,MOZH02889893837487,343.79,1653010824.224633,1658626824.224634,588-33-9079,pendiente
YWMAGB2O61Y,45,154,BABI66683403275736,HDGY88353878542148,597.27,1653442824.224655,1658713224.224657,588-33-9079,rechazado
JMHSGBU3B3T,45,154,BABI66683403275736,IJMD77965998169414,240.38,1651974024.224678,1657676424.22468,588-33-9079,aceptado
DAOYGB8ZURB,45,154,BABI66683403275736,BXWI81137263574527,34.76,1652319624.224701,1658540424.224702,588-33-9079,rechazado
MDUQGBZWA2V,45,154,BABI66683403275736,FJYE09468208668035,734.91,1652060424.224723,1657590024.224724,588-33-9079,pendiente
CQRAGBRF95B,45,154,BABI66683403275736,LMMZ54375495290042,660.62,1650937224.224745,1657158024.224746,588-33-9079,aceptado
ZYRRGBOOX28,45,154,BABI66683403275736,BDYM92297143425382,531.13,1651714824.224767,1657158024.224769,588-33-9079,aceptado
VUHMGBDQ24U,29,135,FFID08460002330487,NAUQ19593293117505,587.47,1651369224.225046,1658367624.225047,237-74-0975,rechazado
LWPPGB9GTGQ,29,135,FFID08460002330487,UFNX23378487078684,403.85,1653615624.225068,1657503624.22507,237-74-0975,rechazado
BVVDGB8DDE3,29,135,FFID08460002330487,NGTJ91640010120420,913.67,1652838024.225091,1658022024.225092,237-74-0975,aceptado
KPQYGBV4S2U,29,135,FFID08460002330487,THQX27054738569571,872.92,1653270024.225113,1658626824.225115,237-74-0975,pendiente
ANMBGBI4NS8,29,135,FFID08460002330487,UHSC70341658649519,561.7,1653183624.225135,1657417224.225137,237-74-0975,aceptado
SIGPGBWW50L,29,135,FFID08460002330487,RVQS01370693345051,252.48,1653183624.225157,1657330824.225159,237-74-0975,aceptado
RRDVGB804EM,29,135,FFID08460002330487,ALVF83540383971874,42.97,1652146824.22518,1657503624.225181,237-74-0975,rechazado
ITNGGBH1O38,29,135,FFID08460002330487,XURU54993075672781,934.25,1650159624.225202,1658367624.225203,237-74-0975,pendiente
ZHSIGBBT0YW,29,135,FFID08460002330487,HKUQ55965881884253,829.44,1652751624.225224,1657676424.225225,237-74-0975,rechazado
JAHIGBZNEWA,29,135,FFID08460002330487,YPUE41251480071058,429.97,1652492424.225246,1657330824.225247,237-74-0975,pendiente
EOKAGB79FDR,29,135,FFID08460002330487,BZZZ68840731803552,5.18,1651023624.225268,1657071624.22527,237-74-0975,pendiente
ZMOZGBY82JH,29,135,FFID08460002330487,WQEX60719795024283,920.82,1653529224.22529,1658108424.225292,237-74-0975,pendiente
ATTNGBVN9RX,29,135,FFID08460002330487,HTME35970256119657,930.83,1653615624.225313,1658713224.225314,237-74-0975,rechazado
ZQKSGB26LD3,29,135,FFID08460002330487,RTKD50754824161819,487.57,1650418824.225335,1658713224.225336,237-74-0975,aceptado
JHKGGB4U4CV,29,135,FFID08460002330487,FDVW32396440703770,151.19,1650678024.225357,1657762824.225359,237-74-0975,aceptado
WSPLGBQT2U8,29,135,FFID08460002330487,CEQL96429805542428,124.92,1650937224.225379,1658281224.225381,237-74-0975,aceptado
QXDCGB9IQ4R,29,135,FFID08460002330487,WLXU23707246098612,470.32,1651974024.225401,1657330824.225403,237-74-0975,pendiente
CCFGGBVLN9Q,29,135,FFID08460002330487,VMCD36424726346830,850.75,1652319624.225423,1658713224.225425,237-74-0975,rechazado
MGQCGBQ3C7U,29,135,FFID08460002330487,COLG66015838357371,743.64,1651974024.225447,1657158024.225448,237-74-0975,aceptado
FEVRGB3MP0B,29,135,FFID08460002330487,GLUL67382816649578,188.99,1650246024.225469,1657676424.225471,237-74-0975,pendiente
VLLGGBFWIEQ,1,132,YTVJ23163164348986,FAPQ96172882660804,738.47,1650591624.225757,1658626824.22576,567-30-4440,rechazado
GDBNGB7W0L7,1,132,YTVJ23163164348986,KKUX51345422932476,34.27,1652406024.225781,1657158024.225783,567-30-4440,pendiente
FIYAGBP64AZ,1,132,YTVJ23163164348986,OEBW50513902403890,156.92,1652492424.225804,1657244424.225805,567-30-4440,rechazado
CRHHGBY3PKW,1,132,YTVJ23163164348986,VDUB20792244358195,35.79,1650678024.225826,1658540424.225828,567-30-4440,pendiente
EEKFGBY9WWU,1,132,YTVJ23163164348986,BKTC05447228471175,658.9,1651801224.225848,1658626824.22585,567-30-4440,aceptado
MFOMGBI3VLD,1,132,JEJK14556022960406,KGNI32735600367353,506.35,1651455624.22587,1658626824.225872,567-30-4440,aceptado
YBOIGBPHA45,1,132,JEJK14556022960406,KWYI94642186064811,0.94,1652233224.225908,1658540424.22591,567-30-4440,pendiente
HHTEGBMS9DY,1,132,JEJK14556022960406,RSHF59599906712703,762.39,1650591624.225931,1657849224.225933,567-30-4440,rechazado
BXRUGB730PF,1,132,JEJK14556022960406,URHQ27514927199188,524.57,1651542024.225954,1657071624.225956,567-30-4440,pendiente
ZXLTGBUPM93,1,132,JEJK14556022960406,ROXX28588598612573,62.1,1652665224.225977,1658194824.225979,567-30-4440,aceptado
CDBFGB99U74,1,132,JEJK14556022960406,NOVQ09026289626143,692.21,1651369224.226,1658108424.226001,567-30-4440,aceptado
NYOWGBJETR2,1,132,JEJK14556022960406,EVGW72730304080583,811.41,1651110024.226022,1658022024.226024,567-30-4440,pendiente
ERETGBVS9Y6,1,132,JEJK14556022960406,VXOQ31543321659744,10.44,1653097224.226044,1657071624.226046,567-30-4440,aceptado
PKYOGB82L20,1,132,JEJK14556022960406,EZBX90891657064623,801.5,1652665224.226067,1658713224.226068,567-30-4440,aceptado
SDNTGBIBMNJ,1,132,JEJK14556022960406,OBDW28479574139986,412.37,1651887624.226089,1657935624.22609,567-30-4440,pendiente
HVVUGB936XL,1,132,JEJK14556022960406,MXKI62676434302056,114.4,1653615624.226111,1657503624.226112,567-30-4440,rechazado
YHSYGB0YUM6,1,132,JEJK14556022960406,REUG86301131064992,576.7,1653010824.226133,1657158024.226135,567-30-4440,rechazado
NTDGGBXQ8YA,1,132,JEJK14556022960406,EYET35798757524358,300.87,1650159624.226156,1658281224.226157,567-30-4440,rechazado
GBPKGBTWJ1R,1,132,JEJK14556022960406,YAUP32961809114585,654.42,1652406024.226178,1658626824.226179,567-30-4440,pendiente
NRFFGB0D3OT,1,132,JEJK14556022960406,RCND92874359196017,745.85,1652233224.2262,1657330824.226201,567-30-4440,aceptado
PUYZGBK0FRS,40,149,RYFY43006198533080,JUWD59513598344570,477.29,1651023624.226478,1658540424.22648,718-91-9756,aceptado
AFKWGB8VR5M,40,149,RYFY43006198533080,SRJL58306902497048,505.62,1651542024.226501,1658626824.226502,718-91-9756,rechazado
TOSGGB5EERP,40,149,RYFY43006198533080,CDHP00963567617288,570.96,1653529224.226524,1657935624.226525,718-91-9756,pendiente
YWZPGBWPFU4,40,149,RYFY43006198533080,RDAR40715120302187,151.26,1651974024.226546,1658367624.226547,718-91-9756,pendiente
ZEKRGBM5IVN,40,149,RYFY43006198533080,SVWM72589399377830,511.96,1650505224.226568,1658194824.226569,718-91-9756,rechazado
UDGMGB3J4QA,40,149,RYFY43006198533080,AVRZ03602024530757,807.05,1651974024.22659,1658367624.226592,718-91-9756,pendiente
AGEHGBUOM2S,40,149,RYFY43006198533080,STHQ55452910705132,697.44,1653615624.226613,1657417224.226614,718-91-9756,aceptado
PQYNGBPTPYF,40,149,FTSY18154294405675,EFXQ82633189927841,213.82,1652492424.226635,1657762824.226637,718-91-9756,pendiente
FYCMGBVFABI,40,149,FTSY18154294405675,FTAE47329958038687,421.0,1651369224.226677,1657158024.226679,718-91-9756,aceptado
YMJNGBM62GF,40,149,FTSY18154294405675,AWWS01300530708342,856.7,1652406024.2267,1658540424.226701,718-91-9756,pendiente
URFDGBWPTWM,40,149,FTSY18154294405675,KJHO00994756654010,30.02,1652060424.226722,1657935624.226724,718-91-9756,pendiente
VBMFGBS3K0Q,40,149,FTSY18154294405675,YKPU72311246018748,864.08,1652060424.226744,1657244424.226746,718-91-9756,aceptado
CTSJGBIIKYC,40,149,FTSY18154294405675,ZSTU43122902191984,595.66,1650850824.226766,1657762824.226767,718-91-9756,aceptado
NJSYGBGZU87,40,149,FTSY18154294405675,QOZM02393769964398,982.23,1651628424.226789,1657676424.22679,718-91-9756,pendiente
ZAJFGBC6A9W,40,149,FTSY18154294405675,AUYM62513135622117,789.93,1650246024.226811,1657330824.226813,718-91-9756,pendiente
JSPPGBBF6S8,40,149,FTSY18154294405675,BKCP16813158846442,3.3,1650159624.226833,1658281224.226835,718-91-9756,aceptado
TSBIGB52KPA,40,149,FTSY18154294405675,BNKD59563125289051,19.06,1653097224.226856,1658713224.226857,718-91-9756,rechazado
PZBZGBV2JHG,40,149,FTSY18154294405675,NXWW88062817354076,711.05,1651887624.226878,1658194824.226879,718-91-9756,rechazado
FUNEGBD00PK,40,149,FTSY18154294405675,BAMT03484741361752,260.26,1652665224.226917,1657330824.226919,718-91-9756,aceptado
LFCUGBDIJSO,40,149,OICK78381431700431,MJPD84250107395630,135.86,1651628424.226941,1657417224.226942,718-91-9756,pendiente
HPXPGBV7LUP,78,111,OQCY06275884746901,KPEN71131081210311,476.89,1652406024.227238,1658454024.227239,863-85-3979,rechazado
PBVVGBVDBVB,78,111,CECG84997929942305,WSVG75177508313721,785.15,1652492424.227261,1657590024.227262,863-85-3979,aceptado
XPVRGB8167S,78,111,CECG84997929942305,WOQA01316025430153,478.33,1651282824.227299,1657676424.227301,863-85-3979,aceptado
YWACGB9F1B7,78,111,CECG84997929942305,GISZ69583319998249,755.99,1650159624.227322,1658799624.227323,863-85-3979,aceptado
IAAHGBCVBQ5,78,111,CECG84997929942305,TOLL73556902675741,946.95,1650332424.227344,1657330824.227346,863-85-3979,aceptado
TVNIGBB5R17,78,111,CECG84997929942305,RDUL28905652309872,486.51,1651801224.227367,1658713224.227368,863-85-3979,pendiente
PPMNGB68NT4,78,111,CECG84997929942305,WTNH89420987709628,863.19,1651628424.227389,1657590024.22739,863-85-3979,aceptado
LLTFGBWODHB,78,111,CECG84997929942305,NDBA13298547245534,154.74,1651974024.227411,1657676424.227412,863-85-3979,aceptado
LELRGB9SY32,78,111,CECG84997929942305,LCBM88779391714793,699.77,1650764424.227433,1658626824.227435,863-85-3979,rechazado
PAUQGBH0B8X,78,111,ZTYN85698401528201,HHRW88778151537111,577.24,1651196424.227455,1658799624.227457,863-85-3979,aceptado
JKNBGBDTJR5,78,111,ZTYN85698401528201,UPVE74172984829310,276.14,1650937224.227494,1657158024.227495,863-85-3979,pendiente
KGTHGBCA969,78,111,ZTYN85698401528201,UBJI73789356368921,131.52,1651023624.227516,1658281224.227518,863-85-3979,aceptado
LREUGB92099,78,111,ZTYN85698401528201,SHUN43422451258613,484.37,1653356424.227538,1657849224.22754,863-85-3979,rechazado
QVZGGBJZ1AO,78,111,LMFF64920504759293,VZCW03079567111313,935.43,1650591624.227561,1657071624.227563,863-85-3979,pendiente
NAYQGBOPV5H,78,111,LMFF64920504759293,NGZG73032062085615,203.12,1650850824.2276,1658022024.227601,863-85-3979,pendiente
RTQFGB8Q45U,78,111,LMFF64920504759293,NVAN65556556518881,317.88,1651369224.227622,1657244424.227624,863-85-3979,aceptado
JNVVGBWI3UV,78,111,LMFF64920504759293,TXRN13141443792409,369.03,1651023624.227645,1658108424.227646,863-85-3979,pendiente
DPXEGBJSTZK,78,111,LMFF64920504759293,ZPZJ81141343594391,727.33,1652146824.227667,1658022024.227668,863-85-3979,pendiente
XZGGGB0VJCA,78,111,LMFF64920504759293,QURO75261661037584,110.92,1650850824.227689,1657417224.227691,863-85-3979,aceptado
RTXAGBAY81P,78,111,LMFF64920504759293,MXWP00903553277084,231.26,1651714824.227711,1657590024.227713,863-85-3979,pendiente
JRECGB190VZ,21,50,RVKQ23735901116837,CMPH09628955340915,454.43,1652406024.22807,1657158024.228075,845-07-0411,rechazado
GHICGBR1KIL,21,50,RVKQ23735901116837,PBFI16729462802426,340.14,1651196424.22811,1658367624.228112,845-07-0411,aceptado
SYFIGBRUZTL,21,50,RVKQ23735901116837,AHYO91093929885230,670.68,1652060424.228137,1658022024.228138,845-07-0411,rechazado
DKOGGBI348P,21,50,RVKQ23735901116837,PRZT78595716779769,784.49,1653183624.228159,1657417224.228161,845-07-0411,rechazado
UJCVGBDUUOB,21,50,RVKQ23735901116837,EMVN06404309445953,29.47,1650246024.228182,1657590024.228184,845-07-0411,aceptado
FWPXGBU82PW,21,50,RVKQ23735901116837,HEIS96116274085070,849.33,1653010824.228204,1658454024.228206,845-07-0411,pendiente
CJDTGBSGJ7A,21,50,RVKQ23735901116837,ZALL04241445672532,296.06,1653270024.228227,1658022024.228229,845-07-0411,rechazado
PFPOGBPKPLZ,21,50,RVKQ23735901116837,USQJ03464053717185,966.95,1651542024.228249,1658626824.228251,845-07-0411,aceptado
ASYUGBIP3YX,21,50,RVKQ23735901116837,SGEC50490103312190,920.38,1653356424.228272,1657071624.228274,845-07-0411,pendiente
ZYTVGB5E66V,21,50,RVKQ23735901116837,SSPA81677163708754,434.07,1651196424.228295,1658108424.228296,845-07-0411,pendiente
DGODGBB3AJ5,21,50,RVKQ23735901116837,OQBS59773931440515,915.86,1652146824.22832,1657071624.228322,845-07-0411,pendiente
GCENGB6BL0W,21,50,RVKQ23735901116837,PQFF38062458338813,239.39,1651455624.228342,1658799624.228344,845-07-0411,aceptado
LTVTGBVDPRJ,21,50,RVKQ23735901116837,SGXT22228368684307,934.39,1651369224.228364,1658540424.228366,845-07-0411,rechazado
JFJJGB26BBV,21,50,RVKQ23735901116837,ELVD61891995383100,994.1,1651801224.228387,1657071624.228388,845-07-0411,rechazado
NVSBGBMVOU6,21,50,RVKQ23735901116837,VWZJ65100104589541,387.26,1652319624.228409,1658626824.228411,845-07-0411,aceptado
RICSGBFJU7K,21,50,RVKQ23735901116837,CZHJ49806821401392,127.05,1653097224.228435,1657676424.228437,845-07-0411,pendiente
LSEAGBRVUIF,21,50,BOCK15506148646188,LLKL68326777785902,986.45,1651110024.228457,1657330824.228459,845-07-0411,pendiente
ZKDJGBCF75B,21,50,BOCK15506148646188,EEQB87596334542784,901.2,1651110024.228496,1657849224.228498,845-07-0411,aceptado
LSSDGBRZXKG,21,50,BOCK15506148646188,KFDI10249820020107,956.29,1651801224.228522,1657330824.228523,845-07-0411,rechazado
UEWJGBRBXV5,21,50,BOCK15506148646188,LBAY44602964194172,516.03,1653183624.228544,1657762824.228546,845-07-0411,pendiente
IZPVGB3HZLU,65,49,MNZA91818440274701,ECSG10010307174142,412.29,1652146824.228842,1658367624.228844,821-31-7886,aceptado
SWZMGBMWXC4,65,49,MNZA91818440274701,ELWM00538787431214,749.8,1653270024.228865,1657158024.228867,821-31-7886,pendiente
GQIBGBGDQFS,65,49,JQNO97346895881376,NQTJ48430435574393,560.95,1650591624.228888,1657676424.228889,821-31-7886,rechazado
QNYMGBG97AB,65,49,JQNO97346895881376,VFNR40180356316292,521.66,1652060424.228927,1658454024.228928,821-31-7886,aceptado
UXTUGB5BZ8K,65,49,JQNO97346895881376,QZGI86763108595076,200.03,1650505224.228949,1658022024.22895,821-31-7886,rechazado
TGYBGBF4OZX,65,49,JQNO97346895881376,TJTH79923995821588,621.71,1651369224.228971,1657071624.228973,821-31-7886,rechazado
IJWQGBC3LXF,65,49,JQNO97346895881376,KMNS75011743879878,200.89,1653270024.228993,1657417224.228995,821-31-7886,pendiente
XGTQGBKXH55,65,49,JQNO97346895881376,UJQX36199370315549,598.37,1652406024.229016,1658713224.229017,821-31-7886,aceptado
DQUCGBWQHKK,65,49,JQNO97346895881376,UMKG72138373328613,196.0,1653442824.229038,1658713224.22904,821-31-7886,pendiente
JHQTGBCZ8HX,65,49,JQNO97346895881376,FOCH54802021903576,885.77,1652146824.22906,1657330824.229062,821-31-7886,rechazado
UEFLGB7W0XA,65,49,JQNO97346895881376,VPIF47779348898293,868.66,1650159624.229082,1658108424.229084,821-31-7886,pendiente
WUFZGB3MCTL,65,49,FIDN59769981649260,WAIQ52497955886961,900.48,1651801224.229105,1657071624.229106,821-31-7886,pendiente
FZEAGBON9EF,65,49,FIDN59769981649260,YFWE31884317704207,438.28,1653270024.229144,1658626824.229145,821-31-7886,aceptado
WOPQGBGFY1L,65,49,FIDN59769981649260,RDEM49375964800051,121.95,1651801224.229166,1658626824.229168,821-31-7886,rechazado
UEGSGBY9NA3,65,49,FIDN59769981649260,FXVV40406601684334,337.01,1651887624.229188,1658799624.22919,821-31-7886,pendiente
OMLVGBYFM8D,65,49,FIDN59769981649260,DCLM80534607952106,470.66,1653097224.22921,1657417224.229212,821-31-7886,pendiente
KCDKGBWQLEX,65,49,QVEU40549972149828,PJAD83696906515838,554.91,1653183624.229233,1657330824.229234,821-31-7886,aceptado
BTVSGB1P1LW,65,49,QVEU40549972149828,QYWL26730747344202,415.62,1651714824.229271,1658540424.229272,821-31-7886,aceptado
IYRWGBL6KPB,65,49,QVEU40549972149828,FSFZ59340792590882,247.95,1652838024.229293,1657417224.229295,821-31-7886,aceptado
HHYZGB9M2IW,65,49,QVEU40549972149828,NRGO96355949689365,973.58,1652665224.229315,1658194824.229317,821-31-7886,pendiente
YDMPGBPA0E5,31,59,XPMG25987941235303,QDWX98105790922719,766.8,1652060424.229593,1657590024.229595,059-18-2855,aceptado
JFWUGBF3W0W,31,59,XPMG25987941235303,KRCI38002137221289,425.58,1651110024.229617,1657935624.229619,059-18-2855,aceptado
UKDUGBB7762,31,59,XPMG25987941235303,DAYS49439391251916,826.78,1652838024.22964,1658194824.229641,059-18-2855,aceptado
OBCAGBIEYRS,31,59,XPMG25987941235303,CFYY28981322485993,273.39,1652838024.229662,1658194824.229663,059-18-2855,rechazado
EIPPGB2YWVW,31,59,XPMG25987941235303,XWAK64477761128130,832.7,1650678024.229684,1658108424.229686,059-18-2855,rechazado
QFMCGB64U4E,31,59,XPMG25987941235303,QWTD16515796738067,107.86,1653010824.229764,1658713224.229766,059-18-2855,pendiente
UCHUGBEWRKM,31,59,XPMG25987941235303,GJPU87506304829665,536.3,1651023624.22979,1657935624.229791,059-18-2855,aceptado
UWVVGB0EY8A,31,59,XPMG25987941235303,JDJI36557737264175,762.42,1651801224.229813,1657417224.229815,059-18-2855,rechazado
GKFWGBDFZ7C,31,59,XPMG25987941235303,EWRY14294253774145,847.0,1653097224.229837,1658540424.229838,059-18-2855,rechazado
LCSTGBKFS92,31,59,XPMG25987941235303,AASA75060001145058,544.64,1652233224.22986,1657762824.229861,059-18-2855,pendiente
AQTDGBKANTG,31,59,XPMG25987941235303,BXWK36258880415781,221.08,1651542024.229882,1658454024.229884,059-18-2855,rechazado
VKFLGBPCZYG,31,59,XPMG25987941235303,WTOH53664159757893,389.9,1650332424.229905,1657071624.229906,059-18-2855,aceptado
DMSQGB7GD77,31,59,XPMG25987941235303,TANI75643704532526,871.55,1651542024.229927,1658540424.229929,059-18-2855,pendiente
OWYCGBWO1R6,31,59,XPMG25987941235303,KGCO76704883004242,814.64,1651282824.229949,1658022024.229951,059-18-2855,pendiente
TBAEGBYN2JU,31,59,XPMG25987941235303,WVQE87853980270803,461.32,1652924424.229971,1658022024.229973,059-18-2855,pendiente
JJWBGBBEO6G,31,59,XPMG25987941235303,ZWBS68156152290696,813.15,1652233224.229993,1658194824.229995,059-18-2855,rechazado
NBKDGBVRV3B,31,59,XPMG25987941235303,UQUG02873409554899,430.51,1651801224.230015,1658540424.230017,059-18-2855,pendiente
RIXSGBV6UVF,31,59,XPMG25987941235303,HKPF18048937788208,51.71,1653183624.230038,1658626824.230039,059-18-2855,pendiente
TEEWGBRUI0U,31,59,XPMG25987941235303,YXJF16761142139420,965.93,1652751624.23008,1658022024.230081,059-18-2855,aceptado
DXOMGBJ7X6M,31,59,TWIE73391680508453,WPJW66710940973973,60.14,1652665224.230102,1657244424.230103,059-18-2855,rechazado
PXHXGBFDCVN,25,145,RXVW66211008398419,HWSF61431168027495,496.32,1653356424.230444,1658108424.230445,685-48-5044,rechazado
BGYNGB5DFAT,25,145,RXVW66211008398419,KMTW95298520597412,550.04,1653010824.230468,1658454024.23047,685-48-5044,rechazado
EELWGBFGVWE,25,145,RXVW66211008398419,MHKW82028504866984,286.68,1650332424.230492,1658713224.230493,685-48-5044,pendiente
CRUGGBP1JCS,25,145,RXVW66211008398419,ZXPF75733921805348,413.95,1652751624.230515,1657762824.230517,685-48-5044,pendiente
AOCNGB6B0LO,25,145,RXVW66211008398419,TFIB62265716324967,64.67,1650937224.230539,1657503624.23054,685-48-5044,pendiente
KBLDGB8GNV5,25,145,RXVW66211008398419,SROZ25675098875854,873.11,1653183624.230562,1658281224.230563,685-48-5044,pendiente
KAEGGBT89X6,25,145,RXVW66211008398419,CCET51452620743693,263.57,1651023624.230585,1657330824.230586,685-48-5044,rechazado
VIDLGBA39QE,25,145,RXVW66211008398419,QFRJ27315383760013,853.45,1653356424.230608,1658540424.230609,685-48-5044,rechazado
YJWDGBX3AE1,25,145,RXVW66211008398419,WBFO88860123245219,920.44,1653615624.23063,1658367624.230632,685-48-5044,rechazado
XFAWGBV349Q,25,145,RXVW66211008398419,FDVA34346244443098,13.65,1651369224.230653,1658022024.230655,685-48-5044,pendiente
FSSUGBCIXEW,25,145,RXVW66211008398419,WPDA95817098953427,644.89,1653270024.230676,1658194824.230678,685-48-5044,pendiente
GYQJGBLGUKJ,25,145,RXVW66211008398419,EAZG33625801399058,674.69,1650591624.2307,1657071624.230701,685-48-5044,rechazado
PTSUGBJQ3S3,25,145,RXVW66211008398419,MJWY09671191090734,722.65,1652838024.230722,1658540424.230724,685-48-5044,rechazado
NWFNGBZMFF8,25,145,RXVW66211008398419,PHCZ21676719644033,852.73,1650764424.230746,1658540424.230747,685-48-5044,pendiente
TFVAGBYQPU4,25,145,RXVW66211008398419,JZSZ99574716414083,976.7,1650678024.230769,1658713224.23077,685-48-5044,pendiente
XFAKGBVNB90,25,145,RXVW66211008398419,LTAM73544015076011,534.87,1650505224.230792,1658540424.230793,685-48-5044,aceptado
RRAAGB7NND7,25,145,RXVW66211008398419,KVYQ00654307505901,597.58,1651282824.230815,1657935624.230816,685-48-5044,pendiente
ZMPXGBSDH5C,25,145,RXVW66211008398419,NDUQ29927738179546,551.04,1652751624.230838,1658194824.23084,685-48-5044,rechazado
FDQQGB3TCYW,25,145,RXVW66211008398419,RSVP58757805857182,868.13,1653442824.230861,1657503624.230863,685-48-5044,rechazado
LMIMGB3P4PS,25,145,RXVW66211008398419,TMQD38684979513718,932.11,1651887624.230887,1658194824.230889,685-48-5044,pendiente
FDSBGBCVE7P,36,174,QZGF58789753003766,DDFK41219066831058,931.02,1650418824.231173,1658626824.231175,266-27-4752,rechazado
DVKMGBPZDAA,36,174,QZGF58789753003766,ZACA31919763378508,88.39,1652578824.231196,1658022024.231198,266-27-4752,rechazado
LAMRGBC1KPB,36,174,QZGF58789753003766,FIBB07957840994753,995.19,1651628424.23122,1658540424.231222,266-27-4752,rechazado
ZGDDGBCUVTF,36,174,QZGF58789753003766,OPBW18201199838250,462.87,1650505224.231243,1657676424.231245,266-27-4752,pendiente
MFAUGBP0VUS,36,174,QZGF58789753003766,TDYW31562856745000,345.28,1653356424.231267,1658367624.231268,266-27-4752,aceptado
GTGMGBH9T4E,36,174,QZGF58789753003766,BCWR31222876623411,13.95,1650850824.231289,1658540424.231291,266-27-4752,aceptado
PKHSGBXOBPF,36,174,QZGF58789753003766,QDWF18684508873888,111.68,1650418824.231312,1657849224.231314,266-27-4752,rechazado
AFKTGB8J6L5,36,174,QZGF58789753003766,OKWE30906727539211,774.86,1652751624.231335,1658108424.231337,266-27-4752,aceptado
